生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
希臘敎	最古, 十二天神, 敬奉, 宗敎, 男神, 女神, 四大祭日, 男女老少, 歌舞崇拜		希臘國, 泰西			I_01_07_16.ann
風雨名號	八風, 四正, 四隅, 正風, 正氣, 隅風, 偏氣, 風, 雨, 三十六雨, 七十二風, 長養萬物, 風雨, 正月, 端月, 陬月, 料峭風, 花信風, 梅花風, 楝花風, 二月, 令月, 始月, 三月, 嘉月, 寎月, 蠶月, 鳥信風, 四月, 正陽月, 餘月, 陰月, 五月, 暑月, 皐月, 麥信風, 六月, 季月, 朝月, 黃雀風, 七月, 涼風, 桐月, 八月, 壯月, 桂月, 葡萄風, 九月, 玄月, 菊月, 鯉魚風, 十月, 陽月, 良月, 十一月, 辜月, 暢月, 十二月, 除月, 涂月, 嚴月, 海風, 石尤風, 石尤, 石郵, 風神, 孟婆, 風母, 孟婆, 風名, 解凍水, 白蘋水, 桃花水, 瓜蔓水, 麥黃水, 山礬水, 豆花水, 荻苗水, 霜降水, 復槽水, 走凌水, 蹙凌水, 杏花雨, 桃花雨, 潑火雨, 分龍雨, 騎月雨, 騎月雨, 跨月雨, 韻府, 類聚, 巽, 天地之信, 化工之著, 生物, 斂物, 艮, 日以晅之, 雨以潤之, 風以鼓之, 大塊噫氣, 陰陽呼吸, 風氣, 蟲類, 蟲, 虫, 會意, 畢雨, 箕風, 風候, 月行, 占風之法, 揚塵動葉, 吹沙飄瓦, 走石, 拔木, 谷風, 陰雨, 密雲, 陽唱陰和, 陽不和, 南風, 大雨, 北風, 雨晴, 東風, 損穀, 豕白蹢, 烝涉波, 雨徵, 黑雲, 銀河, 黑猪渡河, 光雨, 風潮, 風花, 沙, 明庶風, 谷風, 高沙, 條風, 麻, 景風, 凱風, 緊麻, 明風, 寒意, 閶闔風, 泰風, 緩寒意, 緩麻, 涼風, 緊寒意, 周風, 後鳴, 廣漠風, 涼風, 旋風, 回回風, 鬼風, 穨風, 羊角風, 冬之烈風, 苦椒風, 觱栗風, 春之寒風, 虄風, 臙脂紅, 掛弓, 偃瓦, 魚鱗天, 護霜天, 鱟如露, 颶母, 颶, 颱, 神颶, 報, 玉皇颶, 關王颶, 烏狗颶, 白鬚颶, 元帝颶, 眞人颶, 媽祖颶, 佛子颶, 屈原颶, 關王颶, 彭祖颶, 彭祖婆颶, 洗炊籠颶, 大颱旬, 鬼颶, 九降, 彌陀颶, 送神颶	淸, 晉, 宋, 淸明, 霜降, 夏至	京師, 山東, 長安, 關東, 關西, 燕齊, 隴蜀, 雷州	左氏, 石氏女, 李義山, 弇州, 陸游, 聖祖, 李石, 星湖李氏瀷, 孫穆, 婁元禮, 季蓉洲麒光	歲時記, 國史補, 風土記, 金樓子, 提要錄, 宛委餘編, 續博物志, 放翁集, 易, 易·說, 莊子, 尙書·洪範, 風角書, 詩, 外紀, 農書, 爾雅, 雞林類事, 田家五行, 颱說抄, 嶺南雜記, 許眞君祕傳	O_01_03_02.ann
溫冷之間距地平	九重天, 月天, 溫冷際, 溫際, 三際, 三際, 雨雪, 步數里度			陳眉公, 劉晦菴	祕笈	O_01_01_15.ann
史	史官, 任職, 左․右史, 分置, 國史, 博士, 三國史, 國史, 最古, 史家之祖	禹, 眞興王, 嬰陽王 十年, 近肖古王, 履中天皇, 推古天皇 十八年, 元明皇, 西 紀元前 四百四十七年	新羅, 高句麗, 百濟, 高麗, 日本, 泰西, 雅典, 希臘, 埃及, 波斯, 非尼西非尼西亞	黃帝, 蒼頡, 沮誦, 夏禹, 金居漆夫, 李文眞, 高興, 金富軾, 太安麻呂, 三宅藤麻呂, 希加德亞斯, 希拉尼加斯, 希羅都他斯	世本, 國史, 留記, 史記, 天皇紀, 國紀, 古史記, 風土記, 日本書記紀, 系譜, 歷史	I_01_04_04.ann
解鳥言	解獸語, 鳥聲, 應候而鳴, 待時而鳴, 知雷而鳴, 候雨而鳴, 警露而鳴, 將雪而鳴, 晨鳴, 夜鳴, 鼓翼而鳴, 拂羽而鳴, 樂而鳴, 驚而鳴, 和而鳴, 哀而鳴, 隨月而變鳴, 向日而怕鳴, 從空而遺音, 自遠而送聲, 逐婦而鳴, 將子而鳴, 啼花, 叫月, 鳴而祥, 啼而凶, 夷隸, 雀語, 冶長聽雀語, 解蟲蛇言, 律呂之學, 聲音之道, 天籟, 朝鳴曰嘲, 夜鳴曰㖡, 遍用雙聲, 關關, 喈喈, 鷕鷕, 膠膠, 嗈嗈, 嚶嚶, 營營, 喓喓, 角角, 査査, 啞啞, 喃喃, 啾啾, 嘒嘒, 蕭蕭, 鳥獸之音多入聲	明廟時	漢, 長沙, 吐蕃, 廣漢	公冶長, 王世貞, 沈佺期, 隆多羅, 白龜年, 成子, 揚宣, 秦仲, 管輅, 李芝峯, 成武丁, 陳鴻, 賈昌, 唐玄宗, 麥宗, 鄭東山斗, 許相眉叟穆, 介葛盧, 楊翁仲, 翁偉, 李南, 詹何, 沈僧照, 遼太祖, 鐸骨札, 神速姑, 陸機, 坡翁, 陳造, 韋莊, 孔珪, 田藝衡	周禮, 論語疏, 宛委餘編, 衝波傳, 燉煌實錄, 盎葉記, 類說, 一統志, 東城老父傳, 淸一統志, 淸士列傳, 左傳, 論衡, 抱朴子, 韓非子, 梁典, 遼史, 五雜組, 解鳥語經, 通志序, 小雅, 毛詩, 鳥獸草木蟲魚疏, 禽經, 詩, 布穀吟序, 書影, 物理小識, 本草綱目, 祕笈, 玉笑零音, 秋窓軟話詩	O_19_01_22.ann
體操	原語, 占拿斯的, 希臘語, 角力, 競走, 鬪拳, 裸體, 薄着, 戰爭, 習學, 體育, 初生兒, 問案官, 身體檢査, 健强		希臘, 斯巴達			I_01_06_15.ann
上墓	諸陵, 寒食, 餳粥, 唐俗, 拜掃, 陵墓	天寶 二年, 唐	我國		唐書	I_01_28_11.ann
日光倒射	日陽, 月隂, 月體					S_01_01_04.ann
婆羅門敎	古代, 婆蘭瑪, 天地開闢, 四首, 四方, 崇拜, 喇麻敎		印度, 西藏			I_01_07_14.ann
上巳祓除	上巳宴, 三月, 桃花, 上巳, 溱·洧 兩水, 招魂, 祓除, 不祥, 華林園, 土人, 水渚, 曲水流杯, 曲水流觴, 杜鵑花, 糯米粉, 花煎, 曲水宴	顯宗天皇	鄭國, 我國, 日本		韓詩, 晋書, 荊楚歲時記	I_01_28_12.ann
李芳實妹	驍勇, 飛鶻		南江	李芳實	叢話	D_15_01_07.ann
納哈出妹	天下無雙			納哈出, 太祖	麗史	D_15_01_07.ann
外妹			新羅, 唐, 高句麗	文武王, 寶藏王, 安勝, 報德 王	羅史	D_15_01_07.ann
天妹	元帝公主, 帝之外孫		高麗	元宗, 忠烈王, 忠肅, 忠宣	帝王韻記	D_15_01_07.ann
焚妹	有娠, 不告父母, 積薪, 焚火烟起, 無夫而有娠, 伉儷		南山	金庾信, 文姬, 金春秋, 宣德王, 文明太后	新羅遺事	D_15_01_07.ann
磬	石磬	世宗 九年	國朝, 南陽	唐堯, 無句, 磬叔, 朴堧	世本, 樂錄	I_01_21_27.ann
地球	地球圓體之說, 太陽系, 遊星, 雲狀, 物體, 太陽, 獨立, 劇熱, 內部, 爆發		泰西, 希臘	地利斯		I_01_02_01.ann
澡般	臺匜, 洗面器, 阼階				儀禮	I_01_23_09.ann
簫	鳳翼, 洞簫, 無底簫, 六孔, 洞簫賦	漢		伏羲, 女媧, 虞舜, 王褒		I_01_21_11.ann
寒暖表	水熱, 沸騰点, 二百十二度, 氷点, 三十二度, 八十度, 百度, 華氏, 攝氏, 百度寒暖針, 博物學家	十七世記紀初, 一七一七年	惡古馬耳, 普魯士, 法國, 瑞典, 瑞西瑞典	可耳涅利斯脫勒巴가, 華憐黑, 淵馬耳, 攝勒簫斯, 連尼西斯		I_01_22_19.ann
通經科	館學, 儒生, 選人, 詞賦, 養士, 太學, 居泮, 天理, 朝家, 導化, 遠方, 誦讀, 初試, 製作, 畿外七道, 擢第之數, 定額, 經筵, 侍從, 六曹, 師儒, 威儀, 講討, 領館事, 人主, 領事, 興動, 空館, 捲堂, 要君, 大賢, 定論, 朝廷, 臺諫, 三學, 餐錢, 科塲, 恩例, 上書, 末流之獘, 處士, 橫議, 國家, 家族, 危邦, 亂邦	宋景定淳祐	宋, 漢, 唐	退陶, 賈似道, 丘濬, 王咸, 何蕃, 歐陽澈, 子		S_07_01_60.ann
小兒分隊	作妖而散	毅宗	都城			D_15_01_01.ann
蓮花隊	女童, 衣帽, 金鈴, 蓮花		拓跋魏		麗樂府, 樂志	D_15_01_01.ann
蝶	雪翅, 弄芳, 舞東風				牧隱蝶	D_15_01_01.ann
擊毬	端午, 毬詞, 趍馬, 爭毬, 首擊	高麗			御天歌註	D_15_01_01.ann
舞隊	獻仙桃, 壽延長, 五羊仙, 歌詞				麗樂志	D_15_01_01.ann
三笒	大笒, 中笒, 小笒, 唐笛, 十三孔	新羅				I_01_21_15.ann
社日	九土, 后土, 社神, 社			共工氏, 句龍, 顓頊	左傳	I_01_28_08.ann
簦	禦雨具, 雨傘	春秋列國				I_01_18_14.ann
南瓜	南方, 移來	後陽城成皇 慶長年間	日本, 我國			I_01_26_13.ann
淸潔法	坑厠	一八六七年		摩爾		I_01_12_08.ann
養身藥	化學家, 合質, 藥物, 利思丁, 能養, 身體, 長大		西洋			I_01_12_08.ann
石炭	可燃, 薪, 渡江, 火色, 變靑, 溫酒, 炙肉, 木炭火, 竹火, 草火, 麻荄火, 鐵石, 爐, 無焰, 有光, 燃土, 燃水, 泥炭, 石油, 鍜鍛工, 煤鑛	天智天皇, 一千一百九十八年	豫章郡, 晋, 洛陽, 西洋國西涼國, 日本, 越國, 比路支, 勒支	王劭, 何耳勞	漢書 地理志, 北史, 開元遺事	I_01_27_09.ann
代戰士	戰勝	何斯底利亞斯 王	衣色, 彼里斯德, 羅馬, 亞耳巴倫家	他比德, 哥里亞德, 何斯剌利亞斯何斯剌底亞斯	舊約全書	I_01_11_02.ann
砂糖	甘蔗, 製糖, 餳, 銀椀, 甘蔗餳, 飴餳, 熬糖法, 糖霜, 製造法, 黃氏, 糖氷, 糖水	唐 大曆	印度, 希臘, 羅馬, 亞剌比, 歐洲, 支那, 吳, 交州, 西域	孫亮, 黃門, 唐太宗, 王灼, 有鄒和尙	三國志, 糖譜	I_01_19_12.ann
鼴	―鼠					D_11_01_05.ann
煉化石	瓦, 瓦室, 瓦盖, 神屋, 銅瓦, 漆塗, 水精, 寵姬, 堅木, 巴伯兒塔, 禮拜堂, 劇場, 屋盖, 藁草, 寺工, 罏盤博士, 瓦博士, 畵工, 四天王寺, 瓦屋 建築	十七世紀, 崇峻皇	大秦國, 羅馬, 日本, 百濟	夏桀, 昆吾, 唐 玄宗, 虢國夫人	古史考, 史記 龜策傳, 漢武故事, 創世紀	I_01_20_07.ann
媒	女婦, 婚姻, 神媒			女媧, 太昊	路史	I_01_08_16.ann
石油	水肥, 可燃, 油水	漢, 魏	高孥洧高奴洧, 孱陵縣, 白石山, 鄜延, 延安		水經注, 夢溪筆談	I_01_27_10.ann
驗濕機	大氣, 濕潤, 測驗			亞其美底斯		I_01_22_26.ann
翡翠	魚鷹, 川澗中有一種小鳥, 喙長尾短翡翠, 捕魚爲食, 作巢川邊岸土間, 魚狗, 鴗, 在山溪捕魚, 天狗, 魚虎, 翠碧鳥, 魚師, 靑似翠, 水狗, 翠孥, 可馴養獵魚者			陸龜蒙, 崔德符	同文, 譯語, 和漢三才圖會, 爾雅, 爾雅翼, 正字通, 通羊驛詩, 本草, 雞林小錄	O_19_01_18.ann
漫畫	類鶩, 奔走水間腐草泥沙, 鵜鶘, 沙多賽, 汚澤, 陶河, 頹鶖, 水戍里, 可馴養捕魚者, 篦鷺, 狀如白鷺而無冠, 毛而純白, 帶微黃色, 淘泥求魚, 無一息之停			陶九成	譯語, 同文	O_19_01_18.ann
鸕鷀	加麻烏只, 水老鴉, 水鸛, 烏鬼, 入水取魚, 色黑小如鳩, 鷹嘴, 一足如鷹爪, 一足如鳧掌, 蹼不相附, 可行水上, 可泳水中		中原江淮之間		四聲通解, 同文, 譯語, 東醫寶鑑, 物理小識	O_19_01_18.ann
鶚	鷙鳥, 鵰類, 雎鳩, 鷙而有別者, 善捕魚, 性好峙, 立不移處, 鶚立, 鶚狀可愕, 王雎			陸佃, 郯子	本草, 釋名, 禽經	O_19_01_18.ann
鴟鴞	鷙鳥, 覆天鳥, 性昏不知數, 鵂鶹, 亞旣剌, 百鳥之王, 羽毛黃黑色, 高二三尺, 巢于峻山石穴, 性鷙猛		利未亞國	韓昌黎, 南懷仁, 胡元瑞, 伊尹	周禮, 訓狐, 坤輿外紀, 肉攫部, 筆叢, 雜俎·肉攫部	O_19_01_18.ann
鷹鸇	鷙鳥, 鷙鳥類, 鷹鸇種, 鷹隼, 鷹有山海之種, 鷹坊, 海東靑, 甫羅鷹, 鷹之屬, 鴉鶻, 羅雉伊, 黃鷹, 葛知揭, 黃鸇子, 九溪乃, 弄鬪兒, 道弄太, 窩雛鷹, 翼斗每, 兎鶻, 益多鬼, 老鷹, 臺叱斗億其, 白黃鷹, 偸昆, 白角鷹, 蒯陳, 秋鷹, 甫羅每, 籠鷹, 水陳每, 鷂子, 賽每, 靑鸇, 賽每, 皀鷹, 戍里, 黑鷹, 戍里, 鷂鷹, 小奴介, 鷂, 鶻, 益羅兎, 那親, 海靑, 大斗魚其, 隼, 秋隼, 甫羅每, 鬪古, 鴞, 鴟鴞鵰, 戍里音稠, 皁鷹, 鷁, 孛南甲伊, 狠鶻, 傅恒伊, 鷹之當年生而調馴者, 松鶻, 獨戌伊, 伽漠戌伊, 肉德威, 蘭春, 鵰鶻, 方達伊, 決義, 盜鈴馱, 句陳義, 孛南朴, 晨風, 雀鷹, 馬糞掠, 惟鷹之屬 雌大於雄, 緋鷹, 初陳, 再陳, 鷹連, 鷹眼赤, 每脫不過一羽, 鷹巢深山巨木上抱卵, 八卦之象, 毛羽上點文, 坎離之畫, 鷹瞳似猫, 逐影狗, 虎鷹, 二月鷹化爲鳩, 其殺之時也, 四月鳩爲鷹, 六月鷹始摯, 鷹乃學習, 七月鷹乃祭獸, 鷹畏靑, 食燕必死, 食蛇褪毛脫爪, 相鷹法, 馴鷹之法, 縫其兩目, 度其餒甚 以少肉啖之, 中原馴鷹法, 我東馴養諸方, 陳鷹之法, 探鷹病法	高麗時, 康熙四十年辛巳, 皇明崇禎, 仁廟十二年甲戌	海西海州牧, 白翎鎭, 元, 對馬島	陸佃, 范蜀公, 淸高祖, 李光地, 劉旭, 余金, 索爾哈齊, 王士禎, 朴燕巖趾源, 利類思, 李兆年, 平義成	同文, 譯語, 四聲通解, 寒竹堂涉筆·鷙鳥種類, 和漢三才圖會, 東齋記事, 物理小識, 御製集, 周官筆記, 抱朴子, 本草綱目, 西漢記, 五雜組, 熙朝新語, 香祖筆記, 熱河記, 夏小正解, 月令, 客座新聞, 㕲漱	O_19_01_18.ann
鹿角	鹿角鐵, 蒺藜	後漢				I_01_11_12.ann
葡萄酒	農夫, 葡萄園, 富人		西域	諾亞	創世紀, 漢書 大宛傳 註	I_01_19_07.ann
烏群鬪	師戰之象, 癸亥反正, 甲子适變, 丙子、丁丑淸大擧入寇之狀, 羽族之變異	漢景帝三年十一月, 晉懷帝永嘉元年, 光海朝庚申十月, 仁祖十四年丙子正月	楚國呂縣, 洛陽, 晉, 晉, 我東, 日本, 智異山, 大同江, 嶺南, 大邱府	吳王, 楚王戊, 劉淵, 石勒		O_19_01_21.ann
鳥語鳥書	奈何帝, 以觜畫成文	陳後主時	建康, 陳, 隋, 長安	陳眉公, 京房, 叔寶	祕笈, 易飛候	O_19_01_21.ann
指南車		漢, 魏		黃帝, 蚩尤, 周公, 越裳氏, 張衡, 馬均	古今註	I_01_14_02.ann
儒敎	祖, 誕生, 六經	周 靈王 二十一年 庚戌	支那, 魯國昌平鄕	孔子		I_01_07_01.ann
亞爾可兒	酒精, 鍊金學者, 醫學校長	一千二百三十五年, 一千三百十四年	法國	亞諾耳 德 威剌諾哇		I_01_19_09.ann
測地術	土圭, 日晷, 地面, 東極, 西極, 把算, 靑邱, 測地, 漲溢, 田畝, 境界, 沒失, 水退, 土地, 測量, 再定, 發達	夏禹	西洋, 埃及, 尼羅河	周公, 竪亥	周禮, 山海經	I_01_05_15.ann
柟樹歎	唐運, 根斷, 國之根本, 在民, 廟朝, 禮樂, 文物, 君臣, 昇平, 人情, 本實先撥, 宰相, 瓶金, 立法, 外禦, 宦之, 草冦, 中土, 民心, 青蓋, 霜雪, 竽籟	宋, 明		杜子美, 趙普, 太祖, 張浚, 趙鼎, 成祖, 自成	詩蕩八章	S_07_01_48.ann
良琬					咸從世稿	D_11_01_18.ann
銀行	九府圜法, 國立銀行, 猶太人	周代, 明治 五年, 西歷 八 八年(或云一千五十七年), 一六六四年	支那, 日本, 倫巴多, 義太利(威尼斯, 英國			I_01_15_03.ann
錫	銅, 靑銅時代					I_01_27_04.ann
舞蹈	諸國, 倣行		西洋, 法, 義			I_01_24_20.ann
錐	錐刀之末, 古代, 工學家		希臘	大打利斯	左傳	I_01_23_33.ann
袍	周衣, 道袍, 中單, 袍制, 丈夫, 漢制, 公主, 貴人, 錦繡羅縠, 綠袍, 祀祠, 皂繪袍, 六部人, 服制, 唐制, 大袖紫袍, 縫掖, 道流, 明制, 直裰, 馮翼	宣祖 壬辰, 隋唐	新羅, 百濟	法興王, 眞德王	詩傳, 釋名	I_01_18_03.ann
今人賤才	私邪, 閥閱, 人主, 祿位, 宗黨, 姻㜕, 陋劣, 賢德, 蒼生, 和平, 乂安, 聖王, 賢良, 尊官, 世卿, 詞章, 求馬, 都市, 科舉, 無禮, 無道			伯樂		S_07_01_78.ann
測量數號	新曆, 日月, 五星, 天, 輪, 麗天, 循輪, 七政, 本輪, 次輪, 從天, 法日, 小輪, 其輪包日, 曆家, 均輪, 三角形, 黃赤道, 天圍, 本天, 本輪之心, 本輪之周, 均輪之心, 均輪之周, 次輪之心, 次輪之周, 左旋, 右旋, 遲疾, 順逆, 推籌家, 平行者, 軌圈, 均數, 東行, 伏見限者					O_01_05_19.ann
牀	床, 琴, 胡床, 交椅, 胡地, 交床, 繩床	唐, 隋		舜	孟子	I_01_23_13.ann
釋奠	釋菜, 周制, 立學, 先聖, 先師, 祭禮, 仲春之月, 上丁, 樂正, 習舞, 用菜, 無幣, 四代之學, 虞庠, 夏序, 殷校, 周膠, 太牢, 孔子廟, 國學, 蜀郡太守, 學宮, 十二子, 追諡, 褒成宣尼公, 褒成君, 太學, 天下學校, 孔子祀學, 辟廱, 配享, 從祀, 十哲, 塑像, 七十子, 二十一經師, 廟壁, 文宣王, 追贈, 公, 侯, 伯, 至聖文聖王, 追封, 鄒國公, 躋享, 四賢, 十哲, 大成至聖文宣王, 加封, 祀典, 釐正, 木主, 諡號, 至聖先師孔氏之神位, 啓聖祠, 國學, 還國, 太監, 畵像, 摹來, 太學, 史闕, 博士, 得來, 文宗 二十七年, 太僕卿, 奉使, 入宋, 國子圖像, 摹來, 文廟, 五賢, 太學寮, 孔子廟, 釋奠禮	周, 漢 高祖, 漢 景帝, 漢 平帝 元始, 元帝, 東漢 明帝 永平 二年, 魏主 芳 正始, 唐 太宗 貞觀 二十一年, 玄宗 開元, 宋 眞宗 咸平 五年, 神宗 元豊 六年, 哲宗 元祐 二年, 徽宗 政和 二年, 度宗 咸淳 三年, 元 成宗 大德 十一年, 仁宗 皇慶 二年, 明 世宗 嘉靖 九年, 眞德女主 二年, 聖德王 十六年, 高麗 成宗 二年, 顯宗 十一年, 十三年, 忠肅王 六年, 國朝 太宗 二年, 光海 二年, 文武天皇, 稱德天皇	曲阜, 成都, 新羅, 唐, 高句麗, 宋, 日本, 江戶 忍岡	舜, 禹, 湯, 文王, 孔子, 文翁, 孔覇, 周公, 顔回, 左丘明, 卜子夏, 公羊高, 閔, 叔梁紇, 顔氏, 孟子, 荀況, 楊雄揚雄, 韓愈, 子思, 王安石, 王䨦, 楊時, 邵雍, 司馬光, 周敦頤, 程顥, 程頤,, 張載, 朱熹, 張栻, 呂祖謙, 許衡, 張孚敬, 武烈王, 守忠, 箕子, 任成老任老成, 金良鑑, 文昌侯 崔致遠, 弘儒侯 薛聰, 文成公 安裕, 忠義伯 鄭夢周, 金宏弼, 鄭汝昌, 趙光祖, 李彦迪, 李滉, 李珥, 成渾, 金長生, 宋時烈, 宋浚吉, 金麟厚, 金集, 趙憲, 德川義直	月令, 三國志, 文宣王廟圖, 祭器圖, 七十二賢贊記	I_01_06_07.ann
富者	衆怨, 獨享, 怨極, 謗生, 禍兆, 身亡, 有財, 有權, 面悅, 心嫉, 貨殖, 絶後, 罹殃, 衆口, 積毁, 貪黷			疏廣		S_07_01_42.ann
猛獸	虎, 豹, 獅子, 駮, 玆白, 酋耳, 䶂犬, 黃腰, 竹牛, 狒胃, 猾無骨, 豼貅, 猛㺎, 五色獅子, 象, 豼貅, 㺊, 扶拔, 天鐵熊, 龍, 虎鷹	漢武時, 唐高宗時	義渠國, 西域, 加毗葉國	王士禎, 魏武	諾皐記, 香祖筆記, 廣韻, 博物志	O_19_02_01.ann
曆二十四氣	曆, 天時, 民事, 節度分限之書, 黃帝之曆, 日, 月, 星氣, 甲子, 少昊之曆, 顓頊之曆, 孟春, 元, 帝堯之曆, 昊天, 二十四氣, 七十二候, 卦爻, 六十四卦, 卦氣之法, 氣物分數, 啓蟄, 霜降, 太初曆, 漢曆, 立春, 春節, 雨水, 雪散, 驚蟄, 蟄蟲, 春分, 春, 淸明, 淸淨明潔, 淸明風至, 穀雨, 穀種, 播穀如雨, 立夏, 夏節, 小滿, 物長, 芒種, 稼種, 夏至, 陰氣, 小暑, 大暑, 極熱, 立秋, 秋節, 處暑, 暑氣將退, 白露, 陰氣漸重, 露凝, 秋分, 秋氣, 寒露, 露氣, 霜降, 露結, 立冬, 冬節, 小雪, 霜重, 大雪, 雪大, 冬至, 陽氣始生, 小寒, 大寒, 極寒, 盛時曆, 版築之候, 流火, 授衣, 裘葛之候, 藏氷, 用氷, 祈雨, 農祥, 耕候, 三星, 婚候, 一候, 一候之星, 一候之政, 田夫, 紅女, 治曆, 方向, 煞神, 天德, 月德, 其語可采, 七十二候	周, 皇明		羲和, 常儀, 車區, 大撓, 容成, 玄鳥氏, 伯趙氏, 靑鳥氏, 丹烏氏, 鳳鳥氏, 南正重, 北正黎, 羲仲, 叔, 和仲, 叔, 焦延壽, 京房, 揚雄, 周公, 倪寬, 黃帝, 吳萊, 漢景帝, 申豐, 單襄公, 解大紳	易, 時訓, 正朔議, 月令, 左傳, 夏小正, 漢·志, 孝經緯, 豳風·七月, 楚丘, 夏令, 春秋傳, 豳風, 月令纂要, 四時纂要	O_01_05_03.ann
望遠鏡	無色望遠鏡, 眼科醫	十七世紀初, 一七五七年	義大利, 英國	家利勒柯, 多蘭		I_01_22_34.ann
代數學	亞歷山大 港, 羅馬子毋母, 代數, 標號	西曆 十四世紀四世紀, 十五世紀末, 一千五百九十年	埃及, 亞剌伯, 歐洲, 坡阿, 義大利	柯漢德斯, 那始德那拉德, 法蘭斯時堯他		I_01_05_09.ann
盟約	大戰, 六卿, 盟書, 諸侯, 會盟, 割牲, 歃血, 主盟, 牛耳, 背盟, 司盟		甘		尙書 甘誓, 春秋傳, 周官	I_01_08_03.ann
雜葅	沈葅, 沈菜, 䔯(音 고)酢, 葅, 鰕醢煮汁, 蘿葍, 大蒜, 葱, 番椒, 芥菜, 菘菜, 螺,, 鰒, 石首魚, 磁瓮, 冬		我國		蒼頡解詁	I_01_19_17.ann
娩	媚					D_11_01_10.ann
武學	豪民, 逃役, 變通, 殘氓, 偏苦, 儒士, 經史, 武夫, 弓馬, 游食, 無賴, 君子軍, 聖廟, 軍役, 轉升, 名號, 京局, 將官, 守宰, 京司, 本兵之官			越勾踐, 武成王		S_07_01_72.ann
星石星矢	星落, 星糞, 草木之實, 狗首, 天狗, 土氣, 隕星, 硯磚, 太學石鼓, 流星, 菽, 色黑, 栗, 豆, 橢圓, 正圓, 萍實, 皺黑, 明目, 善痘, 辟邪, 火點, 狼星, 二十八宿	己酉元月九日	寧陵, 倭, 淸風北村	高士奇, 李孟休, 謝肇淛, 寓翁	物理小識, 天祿識餘, 春官志, 五雜組, 演禽	O_01_02_14.ann
甑				黃帝	古史考	I_01_23_27.ann
