生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
長安機、轆轤、便轎機	安車, 蒲輪, 便體之機, 乘車, 輀車, 鹿盧, 長安之機, 便轎, 長安車, 彎曲木, 小鐵環, 鞦韆, 座機, 穩坐, 堅木, 兜轎式, 涼簟, 橋梁, 銅鉤, 杠子, 紫荊木, 杻木, 喪輀, 穩便, 水疾眩暈		閩, 我東	高深父	遵生八牋	O_10_01_18.ann
天神	昊天上帝, 五帝, 猶太人, 天父, 天主, 儒家, 上帝, 天, 汗乙, 十月, 祭		高句麗		五經通義, 基督經	I_01_01_02.ann
田結	量田, 束, 負, 結, 戶籍, 貧富				管子禁藏篇	S_07_01_22.ann
聖人	定說, 古昔, 尚論, 大智, 拙賦, 先賢, 速朽, 薄葬, 農圃, 本業, 尚德, 先王, 流風, 餘韻, 百端, 百世, 傳記, 常情, 胡說, 不脫冕, 虧三都, 曲儒, 淺學, 地位, 上品, 天上人, 高下, 宋之諸子, 化之, 眞贋	五季		孔子, 朱子, 顔子, 湯武, 程子, 曾子, 濂溪, 明道, 黃, 老, 少正卯, 堯舜, 文王, 泰伯, 伊尹, 柳下, 孔孟, 顔曾, 邵子	周子通書	S_07_01_20.ann
中星	歲差, 漢唐二孔, 星差, 星鳥, 弧, 星火, 尾, 星虛, 牽牛, 星昴, 東壁, 參, 畢十度, 昴九度, 正南午位, 中氣, 月, 節氣, 正午之位, 子午針, 白日, 正午, 虛昴, 二十八宿, 星鳥, 四象, 星火, 十二次, 貞元會合之運, 四仲, 十二月, 四象十二次, 初昏, 旦, 虛宿, 斗, 昴宿, 壁, 大德乙巳, 箕, 營室, 虛, 箕, 五宿, 六宿, 太陽, 斗建, 昏中, 戌時, 言見, 見于辰, 言正, 正于午, 言中, 中于未, 言流, 流于申, 言伏, 伏於戌, 四仲迭建之星, 昏旦之星, 火星, 流火, 四時之正, 十二時之中, 分至之中, 昏旦之中, 恒星行度之差	唐堯甲辰, 乾隆丙戌, 堯二十一年, 甲子, 堯甲子歲冬至, 三代, 秦, 漢, 唐, 正廟朝, 淸	淸之江蘇婁縣	陳櫟, 鄭樵, 貝瓊, 熊朋來, 鄭漁仲, 三山林氏, 朱子, 蔡氏, 鄭氏漁仲, 金泳, 徐尙書, 浩修, 吳省蘭, 徐朝俊, 冠千, 恕堂	文獻志·中星考, 中星辨, 中星解, 月令中星論, 堯典, 月令, 書, 三統, 元嘉曆, 孔傳, 傳, 詩, 本國中星紀, 國朝曆象考, 藝海珠塵, 中星表	O_01_02_19.ann
隂陽家	九流, 末獘, 喪祭, 筮日, 天倉, 求福, 吉凶, 天時, 地利, 時, 日, 干支, 孤虛, 旺相, 新屋, 歲暮, 禁忌, 初三, 赤口, 忌避, 卜葬, 殯, 墳庵, 渴葬, 慢葬, 君子, 宅兆, 古人, 風俗, 隂陽之論, 聞風, 流弊, 正論, 辭官, 文字			孟子, 黃直卿, 朱子, 陳同父, 南軒	語類	S_07_01_41.ann
公私賤	國俗, 內奴, 寺奴, 驛奴, 校奴, 公賤, 士庶, 私賤, 軍額, 束伍, 察訪, 私槖, 道理, 羣生, 苦樂, 調度, 殘虐, 民生, 爲民, 父母之道					S_07_01_17.ann
養兵	關阨, 都城, 鄕國, 輦轂之兵, 禁旅, 戎政, 兵與農別, 鄕兵, 兵寓於農, 援兵, 靖康之亂, 勤王, 兵費, 兵力, 人主, 親兵, 南北軍, 京衛, 良役, 收布, 朝廷, 聚議, 雇役, 差役	六朝, 五代, 宋朝		蕭銑, 李煜		S_07_01_86.ann
李混	藝文館大詞伯, 僉議政丞		寧海府	元宗, 忠宣王, 淑妃		D_11_01_23.ann
淄澠不混				崔孤雲		D_11_01_23.ann
混混					應製大同江	D_11_01_23.ann
嘉俳日	八月 十五日, 秋夕, 中秋, 王女, 分率, 六部, 女子, 七月望, 大六部, 績麻, 乙夜, 八月望, 負者, 酒食, 勝者, 百戱, 嘉俳, 會蘇會蘇, 哀雅, 會蘇曲		新羅	儒理王	三國史	I_01_28_20.ann
木	灰野, 若木, 日所出處, 東海, 若花, 四海, 扶桑, 瀛洲, 若木花, 四照, 崑崙, 若華, 萬品, 松, 千歲, 偃, 栽松, 根下, 遇石, 栢, 鴨脚樹, 雌雄, 結子, 銀杏, 棺材, 油杉, 益佳木, 檜, 客舍, 礎石, 沈香, 靑桂, 鷄骨, 馬蹄, 煎香, 海南諸國, 無患木, 無患珠, 京中人家, 神巫, 鬼殺, 蘇方木, 染色, 蘇木, 丹木, 薪爨, 蒲柳, 楊, 千金木, 辟邪, 辟瘟, 安息香, 五倍子, 蚊蛤, 辟邪樹, 枯木, 白檀, 北向花, 觀音竹, 合歡, 梧桐, 合昏, 夜合, 蠲忿, 唐詩, 合墨法, 梣, 樊鷄木, 秦皮, 樳木, 水靑木, 蘇鐵, 椒, 大毒, 倭芥子, 酒家, 燒酒, 草木, 牝牡, 牡麻, 雄麻, 牡蒿, 麻, 竹, 雌竹, 牝荊, 牡荊, 箠杖, 良材, 好花, 美實, 造物者		慶州栢栗寺, 三水, 甲山, 交廣, 濟州, 南海, 暹羅, 我國, 波斯國, 中國, 順天松廣寺, 仙巖寺, 江南, 倭國, 南蠻	阮籍, 朱子, 韋仲將	淮南子, 韻會, 韻府, 事文玉屑, 語, 稗海, 酉陽雜俎, 稗史, 家禮, 本草, 韻書, 養生論, 禮記, 東坡志林, 本草蒙筌	J_20_01_04.ann
作詩求傘	杏花雨			曹適庵	本集	D_11_02_04.ann
雨中去傘	禱雨, 拜天		江原	孫七休	叢話	D_11_02_04.ann
屋漏持傘				柳夏亭	筆苑	D_11_02_04.ann
隨駕張傘	宰相, 樞密			獻宗	本史	D_11_02_04.ann
城基持傘			京都	李可道		D_11_02_04.ann
跣足持傘				郭翰林預		D_11_02_04.ann
淸陰一傘				李奎報	路傍大樹詩	D_11_02_04.ann
火傘				㵢溪	半開山茶	D_11_02_04.ann
紅傘	黃傘			忠烈王	麗史	D_11_02_04.ann
雨傘					牧隱	D_11_02_04.ann
陽繖	廣州牧		南京	毅宗	麗史	D_11_02_04.ann
袞衣	龍, 華蟲, 山, 火, 宗彛, 五章, 日, 月, 星辰, 藻, 粉米, 黼, 黻, 十二章, 法服			黃帝, 唐虞		I_01_18_02.ann
麻藥	蒙汗藥, 迷藥, 底打, 醫士, 麻沸湯, 病人, 針灸, 醫師, 硫黃, 病者, 可羅羅堪	一八四四年	支那, 東漢, 合衆國, 波斯頓, 蘇格蘭	華陀, 仄純, 摩耳呑, 心純		I_01_12_03.ann
各種機器	螺絲, 亞克米底螺絲, 螺絲行船之理, 救火器水車, 執照, 水力機器, 潛水機器, 鍊生鉄機器, 鑄錢器, 造紙機, 抽水之器機, 造針機器, 聽微器, 回聲器, 唱戱機器, 留聲機, 生寒器, 自行木騾, 扇風爐機器	紀元前 二百六十七年, 一七五二年, 一六三 年, 一六四九年, 一七二一年, 一七五二年, 一七九 年, 一七九九年, 一八九一八 九年, 一八 二一八十二年, 一八二四年, 一八七七年, 一八七九年, 一八八七年, 一八八九年, 一八二五年, 一八二八年		亞米克米底, 伯努理, 蘭塞, 保斯考爾, 好蘭, 葡爾登, 勞卑, 翟根生, 雷得, 赫格, 拔杞, 柏史德, 潘金, 勞卑, 奈勒生		I_01_22_37.ann
遷葬	渦水, 灤水, 齧墓, 改葬, 遷墓, 墓處, 封築		防山	周王 季歷, 文王, 孔子, 叔梁紇	呂氏春秋	I_01_08_18.ann
我東	魚鹽之中, 分野		我東, 箕, 微, 殷, 我邦	孟子, 箕子, 膠鬲, 微子, 微仲, 比干, 武丁, 檀君	孟子	S_01_01_01.ann
南風阜財	南風, 解慍, 阜財, 彈琴處, 阜財堂, 鹽池之鹽, 玉筯, 鹽根, 煮海, 造鹽, 海鹹, 池鹵, 火井槽, 井火, 鹽山, 凱風, 晉鹽, 鹽鐵之利, 裕民, 晉池, 蜀井	淸	東海之濱, 晉, 鹽池, 蜀邛州, 蜀	舜, 施愚山閏章, 李司馬梅公, 夙沙氏, 劉郁	學餘集, 西使記	O_01_03_06.ann
髥	剃髮, 蓄髥, 遺法, 頭髮, 鬚髥, 愛護, 孝, 回敎, 剃髥, 奴隸, 女王, 戰場, 敵人, 注目, 戰爭, 復古, 禁令, 藍拔, 長髥, 蓄髥의 風, 卽位, 臣民	歷山大王, 路易王 十三 及十四世	泰西, 東洋, 西洋, 亞西尼亞, 希臘, 羅馬, 義大利, 藍拔國, 法國, 歐洲	密拉斯美密拉美斯		I_01_03_13.ann
